sentence1	sentence2	score
Three sheep graze on the grassy field with a dog walking behind them.	a small group of goats in the grass with a black and white dog in the backgroud.	2.8
a cyclist is making his bike jump between two rocks.	A man jumps his bicycle in the air between two rocks.	4.4
A young girl with a pink hat on with a yellow building in the background.	A young girl in a pink dress with something in her hand.	1.8
A girl in a pink dress rides her bike along a white picket fence.	A girl in a red dress rides her bike in front of a white fence.	4
A brown furry animal stands behind some plants.	A dog pants while standing in the woods.	1.4
A child in a red shirt is using a black wake board to splash over a beach wave.	A man in a rowboat is rowing across blue water.	1
The tan and white dog is running in the field.	The brown and white dogs run through the field.	3.4
Two teenage girls, one is smiling.	A little girl on a kid swing.	0.8
Two birds interacting in the grass	Two dogs play with each other outdoors.	0.2
Two hikers stand at the top of a snowy mountain.	Two mountain climbers stand on the top of a mountain looking around.	3.4
Two children in a field of red flowers.	Two kids are playing in a field of red flowers.	4.8
A young men jumps off rocks into a lake.	A young man in red swimming trunks jumped off a large rock into the water.	4
A small black dog is in the grass.	A black dog is running in the grass.	3.6
A lady dressed in a kimono is looking at the camera.	Two girls dressed in black are sitting in a room making suggestive poses at the camera.	1
A group of people are firing up a hot air balloon.	A large group of people riding brown and white horses.	0
Children play fight with swords.	A child and parent pet a horse.	0
A man is wind sailing in the ocean.	A dog is running through the ocean.	1.4
Three dogs racing on a dirt track	Cars racing on a dirt track	1.4
Two people holding hands and walking in a field.	Two men walking past a mural of a car.	1.2
A brown dog chases a Frisbee	A brown dog squating on grass.	1.6
Woman in red overalls standing on the sidewalk.	A woman in red overalls stands on sidewalk.	5
A dog is running through a backyard full of leaves.	Three dogs run through a field.	2.8
two puppies playing around in the grass	Two puppies play in the grass	5
Two black and white dogs are playing together outside.	Two children and a black dog are playing out in the snow.	1
Three dogs running through water.	A black dog running through water.	1
A woman sits alone against a brick wall	A woman is walking with a red bag.	1.2
A brown dog carrying a stick in its mouth.	A dog swimming with a stick in its mouth.	2.6
A young woman leans over her plate at a meal.	A young woman, topless except for paint or mud.	0.8
A person climbs up a snowy hill while their dog follows.	A person climbs a snowy hill while a black dog follows.	3.8
A brown dog sits on the beach.	A dog running on the beach	2
Scuba diver submerged in water.	The scuba diver is underwater.	5
The man is riding a bike down a dirt hill.	A trick bicyclist grinds down a handrail.	1.8
A large gray dog is playing in the deep snow.	Four dogs playing in the snow.	2.6
A man riding his bike on the beach by the ocean.	A man walking his cow down the side of the road.	0.8
A dog in in a car.	A dog is biting a mop.	1
A dog with floppy ears walking towards the camera in the woods.	A child in front of his own reflection turning towards the camera and smiling.	1.2
A brown dog is splashing water everywhere by shaking the water off of itself.	A white dog is standing by a river shaking himself dry.	2.4
A black and white dog is running on the beach.	The black and brown dog is running through the snow.	1.8
Many middle eastern people are sitting in the back of a blue truck.	A group of people are riding in the back of a truck.	3.4
Person with two ski poles skiing down a snowy hill.	A person skiing down a snowy hill.	4.2
A woman is eating fish at a restaurant.	A woman eating a large fish in a restaurant.	4.6
A child and two dogs play in the water.	A child in red and blue floaties looking down at the water.	2.2
A skateboarder doing a trick on a stone wall.	A skateboarder riding up to a slope.	2.2
People are standing on an escalator moving up.	People ride up an escalator.	4.6
A lady is running her dog through an agility course.	Trainer runs her dog through training course with green pipe	4.2
The white and brown dog is shaking its ears.	The brown dog is running across the sand.	1.4
Some children are raising their hands and clapping.	Three children are playing soccer in the sand.	0.2
A man blowing a large bubble.	A man walking a large black horse.	0
Two people sit on a dock near the water.	Two people sit on the end of a dock in the middle of still water.	3.8
Hockey goal-keeper laying on the ice in front of net.	A hockey player is laying on the ice in front of the goal.	4.6
A skier wearing blue snow pants is flying through the air near a jump.	A skier stands on his hands in the snow in front of a movie camera.	1.4
The brown dog is running along a grassy pathway.	A brown dog is running along a grassy stretch divided by strings.	3.4
The girl is wearing a blue striped shirt and Rollerblades.	a man wearing a black and white shirt jumping on a dogs back	0
A tattooed man in black playing a white guitar and singing.	A woman in a black and white coat and earmuffs.	0
A dog running along the beach.	Boy and girl running along the beach.	1.4
A young man and woman sitting on a bench outside are kissing.	The man and woman sitting on a bench are kissing.	4.6
A brown dog is jumping up to catch a green strap in it's mouth.	A grey dog jumps to bite a green leash.	3.2
A black dog is running in the grass.	A black and a brown dog running in the grass.	3.2
A woman is sitting on a sidewalk with a cell phone at her ear.	A woman is riding her bicycle.	0.5
Three dogs play in a grassy field.	Some kids play in a field.	1.2
A young boy plays in a red ball pit.	A laughing boy lies on a pit of blue balls.	3
A surfer on a wave.	A surfer is riding a wave.	4.4
The skateboarder gets to the top of the ramp.	The skateboarder rides the pipe wall at a skater park.	2.4
Two men in a running contest.	Dogs in a race.	1
Two kids are walking on a path in the woods.	Two children walking down a path in the woods.	5
a brown and white dog is running on the grass.	The tan and black dog is running across the grass.	3.4
Two dogs run side-by-side on the grass.	Two dogs running on grass.	4.4
Two dogs are peeing at a red fire hydrant.	Two dogs are urinating on the red fire hydrant.	5
A rugby player in dark gear is carrying a light colored rugby ball with arm outstretched.	A brown dog splashes in the water while carrying a ball in it's mouth.	0.4
Two people are walking through some water.	Two girls are walking by a tree in front of a brick building.	1.2
A dog splashing in the water.	A dog splashes in the murky water.	4
A group of people are walking down the sidewalk of a big city.	A group of people are riding in the back of a truck.	1
The dog is in the air above the grass.	The dog is laying on a bed with a blue sheet.	1
A black dog is running through some water.	A man in a football uniform is running with a football during a game.	0
Girl stands in subway waiting on something.	A girl stands in a dimly lit area.	2
The man is sitting with a little girl in the park.	The man is playing with the shaggy little dog.	0.6
A large tan dog is running with a green item in its mouth	The tan dog is carrying a green squeak toy in its mouth.	4.4
A group of people in boats racing towards the shore.	A classroom of students watching a presentation.	0
A person is riding a skateboard in the air above a ramp.	A biker is riding along a track element located with a wooded area.	0.6
